Year,Annual Median Household Income,Down Payment (20%)
1990,29943,24580
1991,30126,24000
1992,30636,24300
1993,31241,25300
1994,32264,26000
1995,34076,26780
1996,35492,28000
1997,37005,29200
1998,38885,30500
1999,40696,32200
2000,41990,33800
2001,42228,35040
2002,42409,37520
2003,43318,39000
2004,44334,44200
2005,46326,48180
2006,48201,49300
2007,50233,49580
2008,50303,46420
2009,49777,43340
2010,49276,44360
2011,50054,45440
2012,51017,49040
2013,53585,53780
2014,53657,57700
2015,56516,58840
2016,59039,61560
2017,61136,64620
2018,63179,65280
2019,68703,64300
2020,68010,67380
2021,70784,79420
