Year,Monthly Mortgage Payment,28% of Monthly Income - Median,28% of Monthly Income - Minimum Wage,28% of Monthly Income - Top 10%
1996,100,103,26,255
1997,100,105,28,261
1998,100,112,31,284
1999,100,106,28,266
2000,100,98,25,254
2001,100,106,27,282
2002,100,104,26,280
2003,100,110,27,291
2004,100,99,24,266
2005,100,95,22,248
2006,100,91,20,240
2007,100,95,20,253
2008,100,105,25,285
2009,100,124,34,346
2010,100,125,38,350
2011,100,128,38,354
2012,100,133,39,373
2013,100,122,34,332
2014,100,111,31,322
2015,100,120,32,333
2016,100,122,31,336
2017,100,116,29,323
2018,100,111,26,314
2019,100,132,29,353
2020,100,138,31,407
2021,100,124,26,352
