Year,Monthly Mortgage Payment,28% of Monthly Income
1990,872,699
1991,790,703
1992,740,715
1993,694,729
1994,791,753
1995,781,795
1996,807,828
1997,825,863
1998,807,907
1999,895,950
2000,997,980
2001,930,985
2002,953,990
2003,918,1011
2004,1042,1034
2005,1139,1081
2006,1235,1125
2007,1233,1172
2008,1117,1174
2009,935,1161
2010,919,1150
2011,916,1168
2012,898,1190
2013,1025,1250
2014,1125,1252
2015,1103,1319
2016,1126,1378
2017,1233,1427
2018,1329,1474
2019,1219,1603
2020,1151,1587
2021,1333,1652
